time,KE
0.02,6.131278285958509e-09
0.04,6.797469064270233e-10
0.06,2.707684623978987e-10
0.08,1.748367626168159e-10
0.1,1.2405654748271912e-10
0.12000000000000001,9.362286503205855e-11
0.13999999999999999,7.379428324410764e-11
0.16,6.00618955029759e-11
0.18,5.0101332830813486e-11
0.19999999999999998,4.261110061437802e-11
0.22,3.6813446906135996e-11
0.24,3.221865344664655e-11
0.26,2.850487883820038e-11
0.28,2.5452936241165194e-11
0.30000000000000004,2.290898860485475e-11
0.32,2.0762248151982505e-11
0.34,1.8931132454913536e-11
0.36000000000000004,1.735438537309253e-11
0.38,1.598521796098511e-11
0.4,1.4787344193292606e-11
0.42000000000000004,1.373223854674652e-11
0.44,1.2797200895374062e-11
0.46,1.1963966562134197e-11
0.48000000000000004,1.1217691786353423e-11
0.5,1.0546202341596031e-11
0.52,9.939429608486676e-12
0.54,9.388982161047139e-12
0.56,8.887816648130157e-12
0.5800000000000001,8.429982340024922e-12
0.6,8.010420956086648e-12
0.62,7.624808419120426e-12
0.64,7.269428723950045e-12
0.66,6.941072629858767e-12
0.68,6.636955707448226e-12
0.7000000000000001,6.354651596207812e-12
0.7200000000000001,6.092037306857127e-12
0.74,5.847248128482067e-12
0.76,5.61864024643901e-12
0.78,5.4047595887977545e-12
0.8,5.204315734126965e-12
0.8200000000000001,5.016159955277892e-12
0.8400000000000001,4.839266660727115e-12
0.86,4.672717641154376e-12
0.88,4.515688643269457e-12
0.9,4.3674378830340735e-12
0.92,4.227296182133753e-12
0.9400000000000001,4.0946584687869396e-12
0.9600000000000001,3.9689764294683795e-12
0.98,3.849752136030598e-12
1.0,3.736532500867579e-12
1.02,3.628904439505147e-12
1.04,3.5264906377847963e-12
1.06,3.428945838381741e-12
1.08,3.335953574486435e-12
1.1,3.2472232896501807e-12
1.12,3.162487792036028e-12
1.1400000000000001,3.081500999082172e-12
1.1600000000000001,3.0040359353002802e-12
1.18,2.9298829501964624e-12
1.2,2.858848129874161e-12
1.22,2.7907518777330127e-12
1.24,2.7254276441074572e-12
1.26,2.6627207869731977e-12
1.28,2.602487548490579e-12
1.3,2.544594133917022e-12
1.32,2.4889158812758317e-12
1.34,2.435336511630365e-12
1.36,2.383747451039213e-12
1.3800000000000001,2.3340472164426463e-12
1.4000000000000001,2.286140858561896e-12
1.4200000000000002,2.239939455849615e-12
1.44,2.195359654121919e-12
1.46,2.15232324722568e-12
1.48,2.1107567945036e-12
1.5,2.0705912714422286e-12
1.52,2.0317617502102234e-12
1.54,1.9942071071521968e-12
1.56,1.9578697546585858e-12
1.58,1.9226953951071686e-12
1.6,1.8886327947754612e-12
1.62,1.855633575890324e-12
1.6400000000000001,1.82365202516542e-12
1.6600000000000001,1.792644917325329e-12
1.6800000000000002,1.7625713522636373e-12
1.7,1.7333926046557633e-12
1.72,1.7050719849225883e-12
1.74,1.6775747105633274e-12
1.76,1.6508677870073957e-12
1.78,1.624919897122035e-12
1.8,1.5997012987126498e-12
1.82,1.575183729322176e-12
1.84,1.5513403177540844e-12
1.86,1.528145501760645e-12
1.8800000000000001,1.50557495140539e-12
1.9000000000000001,1.4836054976847253e-12
1.9200000000000002,1.4622150659402116e-12
1.94,1.4413826137386094e-12
1.96,1.4210880728673887e-12
1.98,1.4013122951148306e-12
2.0,1.3820370015802996e-12
2.02,1.3632447352267605e-12
2.04,1.3449188164589478e-12
2.06,1.3270433014868326e-12
2.08,1.3096029433015232e-12
2.1,1.2925831550405155e-12
2.12,1.2759699756066134e-12
2.14,1.2597500373653895e-12
2.16,1.2439105357891825e-12
2.18,1.2284392008963024e-12
2.2,1.2133242703867151e-12
2.22,1.1985544643347186e-12
2.24,1.18411896135609e-12
2.2600000000000002,1.1700073761486347e-12
2.2800000000000002,1.1562097382946306e-12
2.3000000000000003,1.1427164722812887e-12
2.3200000000000003,1.1295183786224235e-12
2.34,1.116606616040819e-12
2.36,1.1039726846265877e-12
2.38,1.0916084099135511e-12
2.4,1.0795059278281493e-12
2.42,1.0676576704300597e-12
2.44,1.0560563524378186e-12
2.46,1.044694958455829e-12
2.48,1.0335667308690302e-12
2.5,1.0226651583682576e-12
2.52,1.0119839650943292e-12
2.54,1.001517100299273e-12
2.56,9.912587285736006e-13
2.58,9.812032205471464e-13
2.6,9.713451440711966e-13
2.62,9.616792558317687e-13
2.64,9.52200493371676e-13
2.66,9.429039675411163e-13
