time,KE
0.1,1.837091528231142e-08
0.2,2.0366618142371838e-09
0.30000000000000004,7.833525741155586e-10
0.4,5.053800422553607e-10
0.5,3.5875039238284426e-10
0.6,2.7122502964394976e-10
0.7000000000000001,2.144624795915565e-10
0.8,1.7535721861052612e-10
0.9,1.471596409507488e-10
1.0,1.2609400054562713e-10
1.1,1.0990664246703537e-10
1.2000000000000002,9.718084824155334e-11
1.3000000000000003,8.698733971739943e-11
1.4000000000000001,7.869489267176279e-11
1.5000000000000002,7.186164490506653e-11
1.6,6.617020490448163e-11
1.7000000000000002,6.138713456749033e-11
1.8000000000000003,5.73371342183313e-11
1.9000000000000001,5.388592720247655e-11
2.0,5.092887199734548e-11
2.1,4.838304610812532e-11
2.2,4.61817758352439e-11
2.3000000000000003,4.4270829603418996e-11
2.4000000000000004,4.2605542250106066e-11
2.5000000000000004,4.1148812638979226e-11
2.6,3.986961672666336e-11
2.7,3.8741826383417834e-11
2.8000000000000003,3.77433612257912e-11
2.9000000000000004,3.685549568220639e-11
3.0000000000000004,3.606228349231961e-11
3.1,3.5350094164065835e-11
3.2,3.470721729943661e-11
3.3000000000000003,3.4123545329355065e-11
3.4000000000000004,3.3590271116977574e-11
3.5000000000000004,3.309968457119056e-11
3.6,3.26449494468744e-11
3.7,3.222000861226782e-11
3.8000000000000003,3.181942870474892e-11
3.9000000000000004,3.143835285222076e-11
4.0,3.107245405406317e-11
4.1,3.071790141372602e-11
4.2,3.037135075143568e-11
4.3,3.0029936056845183e-11
4.3999999999999995,2.969126839533443e-11
4.5,2.935344987400381e-11
4.6,2.901502191286272e-11
4.7,2.86749992873271e-11
4.8,2.833282882107739e-11
4.9,2.7988307325323602e-11
5.0,2.7641532355807527e-11
5.1,2.7292824410395688e-11
5.2,2.6942606383567687e-11
5.3,2.6591353905855e-11
5.4,2.6239502197829483e-11
5.5,2.5887406372918914e-11
5.6,2.5535339123382074e-11
5.7,2.5183484010581125e-11
5.8,2.4831935567567204e-11
5.9,2.4480768761511015e-11
6.0,2.4130061370239823e-11
6.1,2.3779915893978013e-11
6.2,2.3430487142817163e-11
6.3,2.3081990800063662e-11
6.4,2.2734697261536718e-11
6.5,2.238893544480929e-11
6.6,2.204508400828633e-11
6.7,2.1703553970975638e-11
6.8,2.136480106920715e-11
6.9,2.1029314749381102e-11
7.0,2.0697624724041283e-11
7.1,2.0370296040226148e-11
7.2,2.004792841346463e-11
7.3,1.973115651894045e-11
7.4,1.942061938392499e-11
7.5,1.911694039079068e-11
7.6,1.8820714559592855e-11
7.7,1.8532475036873673e-11
7.8,1.825264670363389e-11
7.9,1.798154289069782e-11
8.0,1.7719343359168116e-11
8.1,1.7466100597114885e-11
8.2,1.7221748068975364e-11
8.3,1.698610390570772e-11
8.4,1.6758899823921553e-11
8.5,1.653980740675742e-11
8.6,1.6328460834887842e-11
8.7,1.6124478815431137e-11
8.8,1.5927488919391703e-11
8.9,1.5737129766292464e-11
9.0,1.5553066140744607e-11
9.1,1.5374975486183658e-11
9.2,1.520253916295045e-11
9.3,1.5035425185410967e-11
9.4,1.487326415228202e-11
9.5,1.4715632725624108e-11
9.6,1.4562037574341348e-11
9.700000000000001,1.4411903880725145e-11
9.8,1.4264587970606374e-11
9.9,1.4119378890513449e-11
10.0,1.397553773557571e-11
10.1,1.3832314186596052e-11
10.200000000000001,1.3688988389211045e-11
10.3,1.3544894344238786e-11
10.4,1.339945105005816e-11
10.5,1.3252170572310688e-11
10.6,1.3102667629122763e-11
10.700000000000001,1.2950654619613342e-11
10.8,1.2795942482642108e-11
10.9,1.2638424213664658e-11
11.0,1.247806865910479e-11
11.1,1.2314921328582733e-11
11.200000000000001,1.2149100515236572e-11
11.3,1.1980801071127224e-11
11.4,1.1810305802226159e-11
11.5,1.163799334909165e-11
11.6,1.1464341886175247e-11
11.700000000000001,1.128993797103089e-11
11.8,1.111545704696415e-11
11.9,1.0941642620795597e-11
12.0,1.076928962520531e-11
12.1,1.0599216062462323e-11
12.200000000000001,1.0432222374876743e-11
12.3,1.0269058093808283e-11
12.4,1.0110415066548701e-11
12.5,9.956887534617236e-12
12.6,9.808968146554465e-12
12.700000000000001,9.66704289767622e-12
12.8,9.53139174513075e-12
12.9,9.40218076853124e-12
13.0,9.279482847291413e-12
13.1,9.163268250126499e-12
