time,KE
0.02,1.4968830756892553e-08
0.04,1.6594916962964239e-09
0.06,6.610164997537815e-10
0.08,4.268165301306583e-10
0.1,3.028486385769949e-10
0.12000000000000001,2.2855386584682807e-10
0.13999999999999999,1.8014961657256375e-10
0.16,1.4662799380088642e-10
0.18,1.2231440277411998e-10
0.19999999999999998,1.0403146658037756e-10
0.22,8.988045213650701e-11
0.24,7.866581589282687e-11
0.26,6.960185718010336e-11
0.28,6.215348751039393e-11
0.30000000000000004,5.594515687265746e-11
0.32,5.070641080127746e-11
0.34,4.623809294152116e-11
0.36000000000000004,4.2390668528940526e-11
0.38,3.904992061500378e-11
0.4,3.612727214968031e-11
0.42000000000000004,3.355309099560755e-11
0.44,3.127196584013093e-11
0.46,2.923931298727411e-11
0.48000000000000004,2.7418899651160764e-11
0.5,2.5781009667128077e-11
0.52,2.4301066834163882e-11
0.54,2.2958589071680047e-11
0.56,2.173638498753424e-11
0.5800000000000001,2.0619930275468748e-11
0.6,1.9596879065412784e-11
0.62,1.865667762857577e-11
0.64,1.7790256475446452e-11
0.66,1.6989783059318655e-11
0.68,1.6248461718828003e-11
0.7000000000000001,1.556037076065095e-11
0.7200000000000001,1.4920328939733266e-11
0.74,1.4323785390935776e-11
0.76,1.376672837877079e-11
0.78,1.324560925271863e-11
0.8,1.275727876119208e-11
0.8200000000000001,1.2298933459152229e-11
0.8400000000000001,1.1868070408982074e-11
0.86,1.1462448729096997e-11
0.88,1.1080056827298328e-11
0.9,1.0719084362068501e-11
0.92,1.0377898171144946e-11
0.9400000000000001,1.0055021527637762e-11
0.9600000000000001,9.74911620762458e-12
0.98,9.45896693577908e-12
1.0,9.183467855602261e-12
1.02,8.92161072385035e-12
1.04,8.672474582014494e-12
1.06,8.435216693814108e-12
1.08,8.209064577500676e-12
1.1,7.993308975296187e-12
1.12,7.787297644420863e-12
1.1400000000000001,7.590429853353383e-12
1.1600000000000001,7.402151497619524e-12
1.18,7.221950752321096e-12
1.2,7.049354196224186e-12
1.22,6.883923350189615e-12
1.24,6.725251578342594e-12
1.26,6.5729613083528874e-12
1.28,6.42670153573495e-12
1.3,6.286145576465682e-12
1.32,6.150989041897052e-12
1.34,6.0209480096362076e-12
1.36,5.895757369893017e-12
1.3800000000000001,5.775169327753081e-12
1.4000000000000001,5.658952044110256e-12
1.4200000000000002,5.546888400448953e-12
1.44,5.438774877004993e-12
1.46,5.334420528716415e-12
1.48,5.233646052338667e-12
1.5,5.136282933882646e-12
1.52,5.042172669302438e-12
1.54,4.951166049990765e-12
1.56,4.863122509177486e-12
1.58,4.777909520505372e-12
