time,KE
0.02,9.107078203796448e-09
0.04,1.0096523990041904e-09
0.06,4.021773725273622e-10
0.08,2.5968703658105605e-10
0.1,1.8426228575677117e-10
0.12000000000000001,1.3905904677066625e-10
0.13999999999999999,1.0960791418142034e-10
0.16,8.92116173871054e-11
0.18,7.441768254662377e-11
0.19999999999999998,6.329295596140326e-11
0.22,5.468222015847626e-11
0.24,4.785808483127825e-11
0.26,4.234251286395219e-11
0.28,3.7809943080149894e-11
0.30000000000000004,3.4031880102273435e-11
0.32,3.084377063913485e-11
0.34,2.8124440672833524e-11
0.36000000000000004,2.5782907134895498e-11
0.38,2.3749675246350605e-11
0.4,2.197085029009596e-11
0.42000000000000004,2.040406424268915e-11
0.44,1.9015601530615612e-11
0.46,1.7778334521172603e-11
0.48000000000000004,1.6670216626029327e-11
0.5,1.5673166269087144e-11
0.52,1.477222928150443e-11
0.54,1.3954942580239522e-11
0.56,1.3210845328668449e-11
0.5800000000000001,1.2531099513715717e-11
0.6,1.1908192632232008e-11
0.62,1.1335702651030164e-11
0.64,1.080811066614244e-11
0.66,1.0320650433876625e-11
0.68,9.869186647818049e-12
0.7000000000000001,9.450115808252244e-12
0.7200000000000001,9.060284982862783e-12
0.74,8.696924831202319e-12
0.76,8.357594084060911e-12
0.78,8.040133272432868e-12
0.8,7.742625974564787e-12
0.8200000000000001,7.463366205928806e-12
0.8400000000000001,7.200830855595912e-12
0.86,6.9536562890844196e-12
0.88,6.720618408107859e-12
0.9,6.500615589975772e-12
0.92,6.292654038772922e-12
0.9400000000000001,6.095835162736971e-12
0.9600000000000001,5.909344660679799e-12
0.98,5.7324430572802435e-12
1.0,5.564457468623488e-12
1.02,5.404774417777501e-12
1.04,5.2528335486922335e-12
1.06,5.108122111434694e-12
1.08,4.9701701113648296e-12
1.1,4.838546031984182e-12
1.12,4.712853054344962e-12
1.1400000000000001,4.592725707865083e-12
1.1600000000000001,4.477826896924763e-12
1.18,4.367845254764926e-12
1.2,4.262492784458793e-12
1.22,4.161502751439392e-12
1.24,4.064627796997393e-12
1.26,3.971638246683122e-12
1.28,3.882320590334041e-12
1.3,3.796476114436914e-12
1.32,3.713919669136139e-12
1.34,3.6344785550106765e-12
1.36,3.5579915161946478e-12
1.3800000000000001,3.4843078285037982e-12
1.4000000000000001,3.4132864721066202e-12
1.4200000000000002,3.344795380250228e-12
1.44,3.2787107554785375e-12
1.46,3.2149164470117464e-12
1.48,3.1533033827506e-12
1.5,3.0937690503857585e-12
1.52,3.0362170230161528e-12
1.54,2.9805565248502888e-12
1.56,2.9267020328574347e-12
1.58,2.874572911671596e-12
1.6,2.8240930768654345e-12
1.62,2.7751906874326094e-12
1.6400000000000001,2.727797860504756e-12
1.6600000000000001,2.681850409381219e-12
1.6800000000000002,2.637287601795958e-12
1.7,2.594051936364224e-12
1.72,2.5520889360667328e-12
1.74,2.5113469571213005e-12
1.76,2.4717770119128456e-12
1.78,2.43333260486293e-12
1.8,2.395969580243836e-12
1.82,2.3596459800998646e-12
1.84,2.3243219136858327e-12
1.86,2.2899594345496993e-12
1.8800000000000001,2.256522426750901e-12
1.9000000000000001,2.223976498778158e-12
1.9200000000000002,2.1922888845640907e-12
1.94,2.1614283511792823e-12
1.96,2.131365112594294e-12
1.98,2.1020707490673302e-12
2.0,2.0735181318124806e-12
2.02,2.045681352438357e-12
2.04,2.0185356569284417e-12
2.06,1.992057383739894e-12
2.08,1.9662239057762942e-12
2.1,1.9410135759372963e-12
2.12,1.9164056759868005e-12
2.14,1.892380368565502e-12
2.16,1.868918652033339e-12
2.18,1.846002318023639e-12
2.2,1.823613911497944e-12
2.22,1.8017366931175046e-12
2.24,1.7803546039108847e-12
2.2600000000000002,1.7594522317499067e-12
2.2800000000000002,1.7390147799326955e-12
2.3000000000000003,1.7190280374726603e-12
2.3200000000000003,1.6994783510442305e-12
2.34,1.6803525985263578e-12
2.36,1.6616381639976631e-12
2.38,1.6433229139876126e-12
2.4,1.6253951752187484e-12
2.42,1.6078437133952668e-12
2.44,1.5906577131954871e-12
2.46,1.57382675930005e-12
2.48,1.557340818446589e-12
2.5,1.5411902223896122e-12
2.52,1.5253656517818734e-12
2.54,1.5098581208556986e-12
2.56,1.494658962939631e-12
2.58,1.479759816647383e-12
2.6,1.465152612826823e-12
2.62,1.4508295621184304e-12
2.64,1.4367831431779762e-12
2.66,1.4230060914889959e-12
2.68,1.4094913886308917e-12
2.7,1.3962322522556146e-12
2.72,1.3832221263381242e-12
2.74,1.3704546721037046e-12
2.7600000000000002,1.3579237592630483e-12
2.7800000000000002,1.3456234576348973e-12
2.8000000000000003,1.3335480293865771e-12
2.8200000000000003,1.3216919213637006e-12
2.84,1.3100497579882616e-12
2.86,1.2986163343762208e-12
2.88,1.287386609826006e-12
2.9,1.2763557015996915e-12
2.92,1.2655188789755619e-12
2.94,1.2548715575854463e-12
2.96,1.2444092940077467e-12
2.98,1.2341277805959159e-12
3.0,1.2240228405382569e-12
3.02,1.2140904231542834e-12
3.04,1.2043265993694222e-12
3.06,1.194727557420385e-12
3.08,1.1852895986985517e-12
3.1,1.1760091338176087e-12
3.12,1.1668826788208017e-12
3.14,1.1579068515552598e-12
3.16,1.1490783681927017e-12
3.18,1.1403940398959604e-12
3.2,1.1318507696111658e-12
3.22,1.1234455490067763e-12
3.24,1.1151754555048047e-12
3.2600000000000002,1.1070376494539602e-12
3.2800000000000002,1.0990293714008366e-12
3.3000000000000003,1.0911479394552028e-12
3.3200000000000003,1.083390746771248e-12
3.3400000000000003,1.0757552590976538e-12
3.36,1.0682390124398575e-12
3.38,1.0608396108022994e-12
3.4,1.0535547239562564e-12
3.42,1.0463820854283347e-12
3.44,1.0393194903545599e-12
3.46,1.0323647935592832e-12
3.48,1.0255159076506812e-12
3.5,1.0187708011715987e-12
3.52,1.0121274968153197e-12
3.54,1.0055840696916278e-12
3.56,9.991386456676702e-13
3.58,9.927893997200257e-13
3.6,9.86534554372358e-13
3.62,9.80372378204566e-13
3.64,9.743011842920814e-13
3.66,9.68319328836444e-13
3.68,9.624252097598526e-13
3.7,9.56617265315438e-13
3.72,9.508939728087445e-13
3.74,9.45253847304698e-13
3.7600000000000002,9.396954403898039e-13
3.7800000000000002,9.342173389515668e-13
3.8000000000000003,9.288181640382165e-13
3.8200000000000003,9.234965696989271e-13
3.8400000000000003,9.182512418794792e-13
3.86,9.130808973694294e-13
3.88,9.079842827308814e-13
3.9,9.02960173301398e-13
3.92,8.980073722272654e-13
3.94,8.931247095109255e-13
3.96,8.883110410656243e-13
3.98,8.835652478325906e-13
4.0,8.788862349115147e-13
4.02,8.742729307445073e-13
4.04,8.697242862613458e-13
4.06,8.652392741356534e-13
4.08,8.60816887982176e-13
4.1,8.564561417034006e-13
4.119999999999999,8.521560686731302e-13
4.14,8.47915721181391e-13
4.159999999999999,8.437341695365885e-13
4.18,8.396105017658735e-13
4.199999999999999,8.3554382276848e-13
4.22,8.315332538062402e-13
4.239999999999999,8.275779319444931e-13
4.26,8.236770094780642e-13
4.279999999999999,8.198296534583764e-13
4.3,8.160350451659981e-13
4.319999999999999,8.122923796582526e-13
4.34,8.086008653153555e-13
4.359999999999999,8.049597234037717e-13
4.38,8.013681876895171e-13
4.3999999999999995,7.978255040219581e-13
4.42,7.943309300002162e-13
4.4399999999999995,7.908837345973613e-13
4.46,7.874831978506676e-13
4.4799999999999995,7.841286105547686e-13
4.5,7.808192739608725e-13
4.52,7.775544995141171e-13
4.54,7.743336086035472e-13
4.56,7.711559323168222e-13
4.58,7.680208108579179e-13
4.6,7.649275948061716e-13
4.62,7.618756427368571e-13
4.64,7.588643225081171e-13
4.659999999999999,7.558930107303154e-13
4.68,7.529610926352782e-13
4.699999999999999,7.500679619321839e-13
4.72,7.472130206917892e-13
4.739999999999999,7.443956792400925e-13
4.76,7.416153560582285e-13
4.779999999999999,7.38871477708946e-13
4.8,7.361634787393767e-13
4.819999999999999,7.334908016350276e-13
4.84,7.308528967551449e-13
4.859999999999999,7.282492222767893e-13
4.88,7.256792441695485e-13
4.8999999999999995,7.231424361408909e-13
4.92,7.20638279622295e-13
4.9399999999999995,7.181662637342165e-13
4.96,7.157258852779762e-13
4.9799999999999995,7.133166487044516e-13
5.0,7.109380661220683e-13
5.02,7.085896572733917e-13
5.04,7.062709495320517e-13
5.06,7.039814779006285e-13
5.08,7.017207850062448e-13
5.1,6.994884210814435e-13
5.12,6.972839439827975e-13
5.14,6.95106919169614e-13
5.159999999999999,6.929569196973609e-13
5.18,6.908335262170804e-13
5.199999999999999,6.887363269429514e-13
5.22,6.866649176651426e-13
5.239999999999999,6.846189017119793e-13
5.26,6.82597889927165e-13
5.279999999999999,6.806015006479591e-13
5.3,6.786293596695702e-13
5.319999999999999,6.766811002064076e-13
5.34,6.747563628458451e-13
5.359999999999999,6.728547955027804e-13
5.38,6.709760533612649e-13
5.3999999999999995,6.691197988088166e-13
5.42,6.672857013625856e-13
5.4399999999999995,6.654734376009517e-13
5.46,6.636826910684422e-13
5.4799999999999995,6.619131521889735e-13
5.5,6.601645181618642e-13
5.52,6.584364928563255e-13
5.54,6.567287866946126e-13
5.56,6.550411165246803e-13
5.58,6.533732054958806e-13
5.6,6.517247829119044e-13
5.62,6.500955840887986e-13
5.64,6.484853502019711e-13
5.659999999999999,6.46893828117306e-13
5.68,6.453207702362808e-13
5.699999999999999,6.43765934310748e-13
5.72,6.422290832646883e-13
5.739999999999999,6.407099850088519e-13
5.76,6.392084122489648e-13
5.779999999999999,6.377241422858017e-13
5.8,6.36256956816264e-13
5.819999999999999,6.348066417260119e-13
5.84,6.333729868762764e-13
5.859999999999999,6.319557858988408e-13
5.88,6.305548359750198e-13
5.8999999999999995,6.291699376195631e-13
5.92,6.278008944641475e-13
5.9399999999999995,6.264475130354985e-13
5.96,6.251096025399904e-13
5.9799999999999995,6.237869746416298e-13
6.0,6.224794432467507e-13
6.02,6.211868242885938e-13
6.04,6.199089355152418e-13
6.06,6.186455962792672e-13
6.08,6.173966273327393e-13
6.1,6.16161850625728e-13
6.12,6.149410891106707e-13
6.14,6.137341665530074e-13
6.16,6.125409073452941e-13
6.18,6.113611363319902e-13
6.199999999999999,6.101946786391674e-13
6.22,6.090413595112031e-13
6.239999999999999,6.079010041601591e-13
6.26,6.067734376183003e-13
6.279999999999999,6.056584846038042e-13
6.3,6.045559693936611e-13
6.319999999999999,6.034657157097215e-13
6.34,6.023875466110256e-13
6.359999999999999,6.013212843992302e-13
6.38,6.002667505322263e-13
6.3999999999999995,5.992237655518513e-13
6.42,5.981921490201076e-13
6.4399999999999995,5.971717194679928e-13
6.46,5.961622943550693e-13
6.4799999999999995,5.951636900405717e-13
6.5,5.941757217614786e-13
6.52,5.931982036299752e-13
6.54,5.922309486381168e-13
6.56,5.912737686687259e-13
6.58,5.903264745238427e-13
6.6,5.893888759633123e-13
6.62,5.884607817510065e-13
6.64,5.875419997091113e-13
6.66,5.866323367913656e-13
6.68,5.85731599155224e-13
6.699999999999999,5.848395922523743e-13
6.72,5.839561209197389e-13
6.739999999999999,5.830809894916802e-13
6.76,5.822140019046889e-13
6.779999999999999,5.813549618219363e-13
6.8,5.805036727592523e-13
6.819999999999999,5.796599382228907e-13
6.84,5.788235618470583e-13
6.859999999999999,5.779943475452731e-13
6.88,5.77172099656754e-13
6.8999999999999995,5.763566231089723e-13
6.92,5.755477235768732e-13
6.9399999999999995,5.747452076471882e-13
6.96,5.739488829958289e-13
6.9799999999999995,5.731585585427198e-13
7.0,5.72374044636641e-13
7.02,5.715951532249783e-13
7.04,5.708216980295245e-13
7.06,5.700534947175121e-13
7.08,5.692903610804528e-13
7.1,5.685321172026917e-13
7.12,5.677785856327795e-13
7.14,5.670295915521553e-13
7.16,5.662849629377899e-13
7.18,5.655445307232608e-13
7.199999999999999,5.648081289572262e-13
7.22,5.640755949508464e-13
7.239999999999999,5.633467694254963e-13
7.26,5.626214966509415e-13
7.279999999999999,5.618996245779789e-13
7.3,5.611810049641874e-13
7.319999999999999,5.604654934904362e-13
7.34,5.597529498697267e-13
7.359999999999999,5.590432379552015e-13
7.38,5.583362258203061e-13
7.3999999999999995,5.576317858519102e-13
7.42,5.56929794820234e-13
7.4399999999999995,5.562301339432609e-13
7.46,5.555326889411637e-13
7.4799999999999995,5.54837350081286e-13
7.5,5.54144012213671e-13
7.52,5.534525747931664e-13
7.54,5.527629418989635e-13
7.56,5.520750222327229e-13
7.58,5.513887291211162e-13
7.6,5.507039804952727e-13
7.62,5.500206988725763e-13
7.64,5.493388113208872e-13
7.66,5.486582494127363e-13
7.68,5.479789491873873e-13
7.699999999999999,5.473008510788652e-13
7.72,5.466238998634398e-13
7.739999999999999,5.45948044573783e-13
7.76,5.452732384279955e-13
7.779999999999999,5.445994387408663e-13
7.8,5.439266068333161e-13
7.819999999999999,5.432547079318547e-13
7.84,5.425837110683385e-13
7.859999999999999,5.419135889750364e-13
7.88,5.412443179722206e-13
7.8999999999999995,5.405758778584002e-13
7.92,5.399082517904137e-13
7.9399999999999995,5.392414261674178e-13
7.96,5.385753905135177e-13
7.9799999999999995,5.379101373483357e-13
8.0,5.372456620764794e-13
8.02,5.36581962862269e-13
8.04,5.359190405031686e-13
8.06,5.352568983142845e-13
8.08,5.34595542007836e-13
8.1,5.339349795722869e-13
8.12,5.332752211568145e-13
8.14,5.326162789585776e-13
8.16,5.319581671050943e-13
8.18,5.313009015532689e-13
8.2,5.306444999699458e-13
8.219999999999999,5.299889816383051e-13
8.24,5.293343673487642e-13
8.26,5.286806793080597e-13
8.28,5.28027941037459e-13
8.299999999999999,5.273761772841577e-13
8.32,5.267254139654297e-13
8.34,5.260756779448014e-13
8.36,5.254269971861967e-13
8.379999999999999,5.247794004749799e-13
8.4,5.241329174324942e-13
8.42,5.234875784180575e-13
8.44,5.228434144699595e-13
8.459999999999999,5.222004572382138e-13
8.48,5.215587389131555e-13
8.5,5.20918292174946e-13
8.52,5.202791501320723e-13
8.54,5.196413462641081e-13
8.56,5.190049143683546e-13
8.58,5.18369888511588e-13
8.6,5.177363029752569e-13
8.62,5.171041922152593e-13
8.64,5.164735908080351e-13
8.66,5.15844533412843e-13
8.68,5.152170547265952e-13
8.7,5.145911894434853e-13
8.72,5.139669722127578e-13
8.74,5.133444375974647e-13
