time,KE
0.02,1.3226475566522384e-08
0.04,1.4663339955909545e-09
0.06,5.840802406631319e-10
0.08,3.771399323123431e-10
0.1,2.676008431770041e-10
0.12000000000000001,2.0195307571251263e-10
0.13999999999999999,1.5918229876847742e-10
0.16,1.2956190810325233e-10
0.18,1.080778116123189e-10
0.19999999999999998,9.192246402011828e-11
0.22,7.941813347538581e-11
0.24,6.950842906392589e-11
0.26,6.149909895539325e-11
0.28,5.491733363735573e-11
0.30000000000000004,4.943129283104915e-11
0.32,4.480199946302329e-11
0.34,4.0853476070666954e-11
0.36000000000000004,3.7453591297267324e-11
0.38,3.450142097948342e-11
0.4,3.191869666714924e-11
0.42000000000000004,2.9643889877545427e-11
0.44,2.762803784810242e-11
0.46,2.5831745267397483e-11
0.48000000000000004,2.4222995827100168e-11
0.5,2.2775531425601922e-11
0.52,2.1467635734909668e-11
0.54,2.028121008259727e-11
0.56,1.9201063524192777e-11
0.5800000000000001,1.8214361820860133e-11
0.6,1.731019566075186e-11
0.62,1.6479239319915292e-11
0.64,1.5713478598956746e-11
0.66,1.5005992299603637e-11
0.68,1.435077545853363e-11
0.7000000000000001,1.3742595383339513e-11
0.7200000000000001,1.3176873674245872e-11
0.74,1.2649588963282372e-11
0.76,1.2157196284012969e-11
0.78,1.169655987770495e-11
0.8,1.126489691474222e-11
0.8200000000000001,1.0859730141129995e-11
0.8400000000000001,1.0478847849464184e-11
0.86,1.0120269902807132e-11
0.88,9.782218778877262e-12
0.9,9.463094794922232e-12
0.92,9.161454836205497e-12
0.9400000000000001,8.875994027244743e-12
0.9600000000000001,8.605529882837217e-12
0.98,8.348988566077546e-12
1.0,8.10539293087304e-12
1.02,7.873852089412518e-12
1.04,7.653552285493972e-12
1.06,7.443748886649377e-12
1.08,7.243759341206456e-12
1.1,7.052956967962271e-12
1.12,6.870765467166309e-12
1.1400000000000001,6.696654057852499e-12
1.1600000000000001,6.530133161013203e-12
1.18,6.370750557410609e-12
1.2,6.218087963159528e-12
1.22,6.071757969755551e-12
1.24,5.931401305949925e-12
1.26,5.796684380882304e-12
1.28,5.667297078289389e-12
1.3,5.542950770863553e-12
1.32,5.423376530261083e-12
1.34,5.308323510890226e-12
1.36,5.197557488349411e-12
1.3800000000000001,5.090859535310695e-12
1.4000000000000001,4.988024820851224e-12
1.4200000000000002,4.88886151926088e-12
1.44,4.793189818238609e-12
1.46,4.70084101371065e-12
1.48,4.611656685780358e-12
1.5,4.525487945498099e-12
1.52,4.4421947455840406e-12
1.54,4.361645250130057e-12
1.56,4.283715255878922e-12
1.58,4.208287661689604e-12
1.6,4.135251980782121e-12
1.62,4.064503892243733e-12
1.6400000000000001,3.995944827748344e-12
1.6600000000000001,3.9294815908809905e-12
1.6800000000000002,3.865026005417673e-12
1.7,3.802494591121826e-12
1.72,3.741808263176863e-12
1.74,3.6828920545127834e-12
1.76,3.6256748587079313e-12
1.78,3.5700891909272235e-12
1.8,3.5160709667898032e-12
1.82,3.4635592967093627e-12
1.84,3.412496294535197e-12
1.86,3.3628268996779597e-12
1.8800000000000001,3.314498711560532e-12
1.9000000000000001,3.267461835248899e-12
1.9200000000000002,3.221668737436264e-12
1.94,3.1770741121784027e-12
1.96,3.133634755518826e-12
1.98,3.0913094479984085e-12
2.0,3.0500588451767334e-12
2.02,3.0098453749283482e-12
2.04,2.9706331413968956e-12
2.06,2.932387834800393e-12
2.08,2.895076647030651e-12
2.1,2.858668192368663e-12
2.12,2.8231324329935444e-12
2.14,2.7884406095907405e-12
2.16,2.7545651747247452e-12
2.18,2.721479731692212e-12
2.2,2.689158976177209e-12
2.22,2.657578641528278e-12
2.24,2.6267154470683303e-12
2.2600000000000002,2.596547049585106e-12
2.2800000000000002,2.5670519974306316e-12
2.3000000000000003,2.538209687020521e-12
2.3200000000000003,2.5100003224589955e-12
2.34,2.4824048765879824e-12
2.36,2.455405054684575e-12
2.38,2.428983259954013e-12
2.4,2.403122561002412e-12
2.42,2.3778066610425147e-12
2.44,2.3530198686687397e-12
2.46,2.3287470702235256e-12
2.48,2.304973703607524e-12
2.5,2.2816857340068313e-12
2.52,2.2588696295898934e-12
2.54,2.236512339841804e-12
2.56,2.2146012740803765e-12
2.58,2.1931242821984483e-12
2.6,2.1720696346486606e-12
2.62,2.151426005029513e-12
2.64,2.1311824528738157e-12
2.66,2.1113284075087e-12
2.68,2.0918536523617306e-12
2.7,2.07274831066815e-12
2.72,2.0540028312491508e-12
2.74,2.0356079755166313e-12
2.7600000000000002,2.0175548047889165e-12
2.7800000000000002,1.9998346684254504e-12
2.8000000000000003,1.9824391924241255e-12
2.8200000000000003,1.965360268614387e-12
2.84,1.9485900444226373e-12
2.86,1.932120913306905e-12
2.88,1.915945505070647e-12
2.9,1.9000566773106886e-12
2.92,1.884447506921661e-12
2.94,1.8691112820497985e-12
2.96,1.8540414945752753e-12
2.98,1.839231832700667e-12
3.0,1.8246761740848738e-12
3.02,1.8103685792366352e-12
3.04,1.7963032851913377e-12
3.06,1.7824746994705322e-12
3.08,1.7688773943476608e-12
3.1,1.755506101354604e-12
3.12,1.7423557059751248e-12
3.14,1.7294212427363722e-12
3.16,1.7166978902663518e-12
3.18,1.7041809666986628e-12
3.2,1.6918659252826153e-12
3.22,1.6797483500972317e-12
3.24,1.6678239520194035e-12
3.2600000000000002,1.6560885647542502e-12
3.2800000000000002,1.6445381410173379e-12
3.3000000000000003,1.6331687490039739e-12
3.3200000000000003,1.6219765687780336e-12
3.3400000000000003,1.6109578889310859e-12
3.36,1.6001091032712619e-12
3.38,1.5894267077607147e-12
3.4,1.5789072973107177e-12
3.42,1.5685475628721029e-12
3.44,1.5583442886223327e-12
3.46,1.5482943491102874e-12
3.48,1.5383947064831803e-12
3.5,1.5286424080297938e-12
3.52,1.5190345834849102e-12
3.54,1.5095684423901148e-12
3.56,1.500241271953216e-12
3.58,1.4910504345837164e-12
3.6,1.4819933654600579e-12
3.62,1.4730675703513703e-12
3.64,1.4642706234806321e-12
3.66,1.4556001651016578e-12
3.68,1.4470538997762794e-12
3.7,1.4386295940832256e-12
3.72,1.43032507457833e-12
3.74,1.4221382260484302e-12
3.7600000000000002,1.4140669892603788e-12
3.7800000000000002,1.4061093592862252e-12
3.8000000000000003,1.398263384219202e-12
3.8200000000000003,1.3905271613184639e-12
3.8400000000000003,1.3828988379843213e-12
3.86,1.3753766085133707e-12
3.88,1.3679587125965166e-12
3.9,1.360643433561213e-12
3.92,1.3534290973085392e-12
3.94,1.3463140703205188e-12
3.96,1.339296757663253e-12
3.98,1.3323756027449255e-12
4.0,1.325549084924943e-12
4.02,1.3188157182310488e-12
4.04,1.3121740504716654e-12
4.06,1.305622661046104e-12
4.08,1.299160160451597e-12
4.1,1.2927851889657788e-12
4.119999999999999,1.2864964146584625e-12
4.14,1.2802925331926705e-12
4.159999999999999,1.2741722660199287e-12
4.18,1.268134359750813e-12
4.199999999999999,1.262177584684385e-12
4.22,1.256300734222383e-12
4.239999999999999,1.2505026236278036e-12
4.26,1.2447820891194923e-12
4.279999999999999,1.2391379871573216e-12
4.3,1.2335691934081972e-12
4.319999999999999,1.2280746020387303e-12
4.34,1.2226531249876588e-12
4.359999999999999,1.2173036912510286e-12
4.38,1.2120252461037676e-12
4.3999999999999995,1.2068167505367296e-12
4.42,1.2016771807294594e-12
4.4399999999999995,1.1966055273169983e-12
4.46,1.1916007950335441e-12
4.4799999999999995,1.1866620021793132e-12
4.5,1.1817881801624353e-12
4.52,1.1769783734183628e-12
4.54,1.1722316378492359e-12
4.56,1.1675470422450074e-12
4.58,1.1629236667895458e-12
4.6,1.1583606031334198e-12
4.62,1.1538569541252084e-12
4.64,1.1494118335935425e-12
4.659999999999999,1.145024366209636e-12
4.68,1.140693687333204e-12
4.699999999999999,1.1364189427934071e-12
4.72,1.132199288883821e-12
4.739999999999999,1.1280338922339153e-12
4.76,1.1239219297551704e-12
4.779999999999999,1.119862588666539e-12
4.8,1.1158550663422522e-12
4.819999999999999,1.1118985705173648e-12
4.84,1.1079923190246396e-12
4.859999999999999,1.1041355400456595e-12
4.88,1.100327472023741e-12
4.8999999999999995,1.0965673637727504e-12
4.92,1.0928544745794842e-12
4.9399999999999995,1.0891880741127266e-12
4.96,1.0855674425945237e-12
4.9799999999999995,1.081991870897549e-12
5.0,1.0784606606427445e-12
5.02,1.074973124152357e-12
5.04,1.0715285846299833e-12
5.06,1.0681263762155578e-12
5.08,1.0647658441145955e-12
5.1,1.0614463445735986e-12
5.12,1.0581672450319823e-12
5.14,1.0549279241810922e-12
5.159999999999999,1.05172777200249e-12
5.18,1.0485661898462072e-12
5.199999999999999,1.0454425904074475e-12
5.22,1.0423563978997143e-12
5.239999999999999,1.03930704788422e-12
5.26,1.0362939874257045e-12
5.279999999999999,1.0333166751973746e-12
5.3,1.0303745811783649e-12
5.319999999999999,1.027467187220709e-12
5.34,1.0245939855283432e-12
5.359999999999999,1.021754480718726e-12
5.38,1.018948188357383e-12
5.3999999999999995,1.0161746352805463e-12
5.42,1.0134333594791384e-12
5.4399999999999995,1.0107239098141894e-12
5.46,1.0080458462650396e-12
5.4799999999999995,1.0053987394246104e-12
5.5,1.0027821706089876e-12
5.52,1.0001957315272433e-12
5.54,9.976390241567017e-13
5.56,9.951116605384706e-13
5.58,9.926132625454964e-13
5.6,9.901434616695204e-13
5.62,9.877018987587161e-13
5.64,9.852882237984046e-13
5.659999999999999,9.829020954680218e-13
