time,KE
0.02,8.196975779438632e-09
0.04,9.087563347117537e-10
0.06,3.6198842407159716e-10
0.08,2.3373724885625376e-10
0.1,1.6584957242875435e-10
0.12000000000000001,1.251633061956961e-10
0.13999999999999999,9.865502205261837e-11
0.16,8.029672553710277e-11
0.18,6.698095510834587e-11
0.19999999999999998,5.6967739291831264e-11
0.22,4.921730185656606e-11
0.24,4.307494021766334e-11
0.26,3.811038682477347e-11
0.28,3.4030613059310966e-11
0.30000000000000004,3.062995632066786e-11
0.32,2.776030640509685e-11
0.34,2.531259754978936e-11
0.36000000000000004,2.3204938020699806e-11
0.38,2.1374777107569595e-11
0.4,1.977360530202212e-11
0.42000000000000004,1.8363287976208017e-11
0.44,1.7113478356867495e-11
0.46,1.5999759318069864e-11
0.48000000000000004,1.5002287064621028e-11
0.5,1.4104786620100704e-11
0.52,1.3293797922364747e-11
0.54,1.2558103085173757e-11
0.56,1.1888286406569265e-11
0.5800000000000001,1.1276392859326317e-11
0.6,1.0715660485540374e-11
0.62,1.0200308842954445e-11
0.64,9.725370383943309e-12
0.66,9.286555020621753e-12
0.68,8.880140565130243e-12
0.7000000000000001,8.502883504179172e-12
0.7200000000000001,8.15194587624525e-12
0.74,7.824834989288046e-12
0.76,7.519353446393448e-12
0.78,7.2335574985598744e-12
0.8,6.965722163355756e-12
0.8200000000000001,6.714311873231767e-12
0.8400000000000001,6.477955665761453e-12
0.86,6.255426124181417e-12
0.88,6.045621428956199e-12
0.9,5.847550002088286e-12
0.92,5.66031732151969e-12
0.9400000000000001,5.483114559343494e-12
0.9600000000000001,5.3152087591278145e-12
0.98,5.1559343160093e-12
1.0,5.004685565140656e-12
1.02,4.860910314992552e-12
1.04,4.724104189056414e-12
1.06,4.5938056618954745e-12
1.08,4.469591692851476e-12
1.1,4.3510738761524364e-12
1.12,4.237895037925016e-12
1.1400000000000001,4.129726221586968e-12
1.1600000000000001,4.026264011110463e-12
1.18,3.927228149486194e-12
1.2,3.832359415100914e-12
1.22,3.741417724917261e-12
1.24,3.6541804361248905e-12
1.26,3.5704408235617413e-12
1.28,3.490006711521402e-12
1.3,3.4126992427271507e-12
1.32,3.338351768588131e-12
1.34,3.2668088464436642e-12
1.36,3.1979253342022466e-12
1.3800000000000001,3.1315655689112253e-12
1.4000000000000001,3.067602622221363e-12
1.4200000000000002,3.005917624027806e-12
1.44,2.946399147173886e-12
1.46,2.8889426467351253e-12
1.48,2.8334499489657885e-12
1.5,2.779828784137782e-12
1.52,2.7279923595798486e-12
1.54,2.677858968669866e-12
1.56,2.6293516324378324e-12
1.58,2.582397770598779e-12
1.6,2.5369288993503457e-12
1.62,2.4928803533462808e-12
1.6400000000000001,2.4501910297635113e-12
1.6600000000000001,2.408803152332994e-12
1.6800000000000002,2.3686620536715253e-12
1.7,2.329715974209192e-12
1.72,2.291915876227571e-12
1.74,2.2552152719010788e-12
1.76,2.219570063921729e-12
1.78,2.1849383977986297e-12
1.8,2.151280524736586e-12
1.82,2.118558674383032e-12
1.84,2.0867369364579175e-12
1.86,2.055781150696245e-12
1.8800000000000001,2.0256588043549736e-12
1.9000000000000001,1.9963389367307985e-12
1.9200000000000002,1.967792050101551e-12
1.94,1.939990026651286e-12
1.96,1.9129060508768526e-12
1.98,1.8865145370574e-12
2.0,1.860791061473294e-12
2.02,1.8357122989092773e-12
2.04,1.811255963254329e-12
2.06,1.7874007518029763e-12
2.08,1.7641262930601846e-12
2.1,1.741413097688821e-12
2.12,1.7192425125972298e-12
2.14,1.6975966776737925e-12
2.16,1.676458485225843e-12
2.18,1.6558115417459268e-12
2.2,1.6356401319331096e-12
2.22,1.6159291849736277e-12
2.24,1.5966642425526167e-12
2.2600000000000002,1.577831428870458e-12
2.2800000000000002,1.5594174223045025e-12
2.3000000000000003,1.5414094285759376e-12
2.3200000000000003,1.5237951556973546e-12
2.34,1.5065627900165777e-12
2.36,1.4897009737375067e-12
2.38,1.4731987836362528e-12
2.4,1.4570457109303433e-12
2.42,1.4412316421503747e-12
2.44,1.4257468414775025e-12
2.46,1.4105819331318572e-12
2.48,1.3957278855608357e-12
2.5,1.3811759960550833e-12
2.52,1.36691787618467e-12
2.54,1.3529454380678096e-12
2.56,1.3392508812586388e-12
2.58,1.325826680377902e-12
2.6,1.3126655733068467e-12
