time,KE
0.02,1.0562042240219734e-08
0.04,1.1709523410788632e-09
0.06,4.6642595453019e-10
0.08,3.0117186473292757e-10
0.1,2.1369785804341164e-10
0.12000000000000001,1.6127353058288162e-10
0.13999999999999999,1.271178199604003e-10
0.16,1.0346349808251143e-10
0.18,8.630652820990221e-11
0.19999999999999998,7.340492137104606e-11
0.22,6.341890757805842e-11
0.24,5.550489301464653e-11
0.26,4.9108473050725536e-11
0.28,4.385207796460391e-11
0.30000000000000004,3.947071057576074e-11
0.32,3.577353077585405e-11
0.34,3.2620007675248165e-11
0.36000000000000004,2.9904624371578865e-11
0.38,2.7546785000176664e-11
0.4,2.548398584137478e-11
0.42000000000000004,2.366709122096566e-11
0.44,2.205700010153543e-11
0.46,2.0622251766591173e-11
0.48000000000000004,1.933727819941921e-11
0.5,1.8181109764445596e-11
0.52,1.7136403799416007e-11
0.54,1.6188706642362773e-11
0.56,1.532588670373613e-11
0.5800000000000001,1.4537694432651256e-11
0.6,1.3815417510283336e-11
0.62,1.3151608263641425e-11
0.64,1.2539866399653148e-11
0.66,1.1974664501022506e-11
0.68,1.1451206858567998e-11
0.7000000000000001,1.0965314507240071e-11
0.7200000000000001,1.0513331009530335e-11
0.74,1.0092044782870033e-11
0.76,9.698624709782297e-12
0.78,9.330566476083613e-12
0.8,8.985647629505772e-12
0.8200000000000001,8.661889759619935e-12
0.8400000000000001,8.35752653298968e-12
0.86,8.070976558572124e-12
0.88,7.800820262739194e-12
0.9,7.54578010454451e-12
0.92,7.304703587105683e-12
0.9400000000000001,7.0765486188336684e-12
0.9600000000000001,6.8603708576791816e-12
0.98,6.6553127346023195e-12
1.0,6.460593904178989e-12
1.02,6.275502913088853e-12
1.04,6.0993899105758824e-12
1.06,5.93166025262909e-12
1.08,5.771768876885962e-12
1.1,5.6192153429532775e-12
1.12,5.473539447764201e-12
1.1400000000000001,5.334317342095184e-12
1.1600000000000001,5.201158082191042e-12
1.18,5.073700561349832e-12
1.2,4.951610774969283e-12
1.22,4.834579375604167e-12
1.24,4.722319486242352e-12
1.26,4.614564738121428e-12
1.28,4.51106750858408e-12
1.3,4.411597334966073e-12
1.32,4.3159394848777696e-12
1.34,4.2238936655372806e-12
1.36,4.135272855573018e-12
1.3800000000000001,4.049902248216372e-12
1.4000000000000001,3.9676182918282006e-12
1.4200000000000002,3.888267818404576e-12
1.44,3.811707251089769e-12
1.46,3.737801881798405e-12
1.48,3.666425212736571e-12
1.5,3.5974583545717696e-12
1.52,3.530789476609463e-12
1.54,3.4663133025312315e-12
1.56,3.4039306490572544e-12
1.58,3.343548001900009e-12
1.6,3.2850771264042594e-12
1.62,3.2284347093207197e-12
1.6400000000000001,3.173542028930634e-12
1.6600000000000001,3.1203246511128088e-12
1.6800000000000002,3.0687121486768477e-12
1.7,3.018637842277407e-12
1.72,2.970038560774494e-12
1.74,2.92285441959265e-12
1.76,2.8770286152363077e-12
1.78,2.8325072349325982e-12
1.8,2.789239079920454e-12
1.82,2.747175501274791e-12
1.84,2.7062702473909295e-12
1.86,2.6664793221196935e-12
1.8800000000000001,2.6277608525191093e-12
1.9000000000000001,2.5900749657971954e-12
1.9200000000000002,2.5533836744302065e-12
1.94,2.51765076921821e-12
1.96,2.482841718920243e-12
1.98,2.4489235769475383e-12
2.0,2.415864893832836e-12
2.02,2.3836356354446307e-12
2.04,2.3522071062253497e-12
2.06,2.3215518775518896e-12
2.08,2.2916437202233937e-12
2.1,2.262457541357392e-12
2.12,2.2339693250267776e-12
2.14,2.2061560765556744e-12
2.16,2.1789957701392855e-12
2.18,2.152467299552929e-12
2.2,2.1265504318469466e-12
2.22,2.1012257636293115e-12
2.24,2.07647468001236e-12
2.2600000000000002,2.05227931594823e-12
2.2800000000000002,2.028622519174517e-12
2.3000000000000003,2.0054878165548577e-12
2.3200000000000003,1.9828593809564572e-12
2.34,1.960722000743753e-12
2.36,1.9390610505281296e-12
2.38,1.9178624640179587e-12
2.4,1.8971127078499732e-12
2.42,1.8767987571484584e-12
2.44,1.8569080721869354e-12
2.46,1.837428576517366e-12
2.48,1.8183486358899784e-12
2.5,1.7996570390775436e-12
2.52,1.7813429783887684e-12
2.54,1.763396032397582e-12
2.56,1.7458061490427404e-12
2.58,1.728563629637763e-12
2.6,1.7116591136577565e-12
2.62,1.695083564444816e-12
2.64,1.6788282554442352e-12
2.66,1.6628847573151794e-12
2.68,1.6472449255034638e-12
2.7,1.6319008883901928e-12
2.72,1.6168450368162186e-12
2.74,1.60207001244108e-12
2.7600000000000002,1.5875686983859494e-12
2.7800000000000002,1.5733342093224831e-12
2.8000000000000003,1.5593598824901938e-12
2.8200000000000003,1.5456392690223335e-12
2.84,1.5321661254483427e-12
2.86,1.518934405996352e-12
2.88,1.505938254969604e-12
2.9,1.4931719996643e-12
2.92,1.4806301433907595e-12
2.94,1.468307359121271e-12
2.96,1.4561984832268701e-12
2.98,1.4442985092873102e-12
3.0,1.4326025828515758e-12
3.02,1.421105995732164e-12
3.04,1.4098041809129517e-12
3.06,1.3986927075722901e-12
3.08,1.3877672763837495e-12
3.1,1.377023714959084e-12
3.12,1.3664579735300387e-12
3.14,1.3560661207839217e-12
3.16,1.3458443398957868e-12
3.18,1.335788924696731e-12
3.2,1.3258962760193691e-12
3.22,1.3161628981669708e-12
3.24,1.3065853955408171e-12
3.2600000000000002,1.2971604694079975e-12
3.2800000000000002,1.2878849147367319e-12
3.3000000000000003,1.2787556172299742e-12
3.3200000000000003,1.2697695503854764e-12
3.3400000000000003,1.260923772738968e-12
3.36,1.2522154251357536e-12
3.38,1.2436417281661517e-12
3.4,1.235199979595258e-12
3.42,1.2268875519630557e-12
3.44,1.2187018902925445e-12
3.46,1.2106405096797033e-12
3.48,1.2027009932195382e-12
3.5,1.194880989795385e-12
3.52,1.1871782120399508e-12
3.54,1.179590434317309e-12
3.56,1.1721154907708146e-12
3.58,1.1647512734374982e-12
3.6,1.1574957303968882e-12
3.62,1.1503468639909876e-12
3.64,1.1433027291069583e-12
3.66,1.136361431430089e-12
3.68,1.1295211258806178e-12
3.7,1.1227800149251722e-12
3.72,1.1161363470766882e-12
3.74,1.109588415361808e-12
3.7600000000000002,1.1031345558412623e-12
3.7800000000000002,1.0967731461794854e-12
3.8000000000000003,1.0905026042699856e-12
3.8200000000000003,1.0843213868167564e-12
3.8400000000000003,1.0782279880479851e-12
3.86,1.0722209384342872e-12
3.88,1.0662988034363386e-12
3.9,1.0604601822430396e-12
3.92,1.0547037066246067e-12
3.94,1.0490280397640474e-12
3.96,1.0434318753255178e-12
3.98,1.0379139356721932e-12
4.0,1.0324729718271123e-12
4.02,1.0271077618016802e-12
4.04,1.0218171097333908e-12
4.06,1.0165998449483903e-12
4.08,1.0114548210206728e-12
4.1,1.0063809149178268e-12
4.119999999999999,1.0013770260787205e-12
4.14,9.964420755757817e-13
4.159999999999999,9.915750053703355e-13
4.18,9.867747774574623e-13
