time,KE
0.02,1.437607113512429e-08
0.04,1.5937784223137926e-09
0.06,6.348424559078748e-10
0.08,4.099163650647525e-10
0.1,2.908572182520704e-10
0.12000000000000001,2.195041905769994e-10
0.13999999999999999,1.7301646658515863e-10
0.16,1.4082205241613637e-10
0.18,1.1747105993545854e-10
0.19999999999999998,9.991193089595427e-11
0.22,8.632111794170505e-11
0.24,7.555041791325134e-11
0.26,6.684524144873832e-11
0.28,5.969168763139691e-11
0.30000000000000004,5.3729076674407166e-11
0.32,4.869766283600451e-11
0.34,4.440617529767205e-11
0.36000000000000004,4.071099998660277e-11
0.38,3.75024421952105e-11
0.4,3.469543188300885e-11
0.42000000000000004,3.2223093791236224e-11
0.44,3.0032210414459073e-11
0.46,2.8079963150654414e-11
0.48000000000000004,2.633155366280835e-11
0.5,2.475844222145464e-11
0.52,2.333702555360863e-11
0.54,2.2047632412880208e-11
0.56,2.0873751959043156e-11
0.5800000000000001,1.9801434843955056e-11
0.6,1.8818823914154785e-11
0.62,1.791578320625776e-11
0.64,1.708360223317712e-11
0.66,1.6314758497679426e-11
0.68,1.5602725327693602e-11
0.7000000000000001,1.4941815427523446e-11
0.7200000000000001,1.4327052639510235e-11
0.74,1.3754066231912264e-11
0.76,1.321900326425375e-11
0.78,1.2718455552557034e-11
0.8,1.2249398502660836e-11
0.8200000000000001,1.180913963984398e-11
0.8400000000000001,1.1395275104666186e-11
0.86,1.1005652722042228e-11
0.88,1.063834053208713e-11
0.9,1.0291599861189153e-11
0.92,9.963862203034511e-12
0.9400000000000001,9.65370929694517e-12
0.9600000000000001,9.359855903515167e-12
0.98,9.08113486704779e-12
1.0,8.816484121799138e-12
1.02,8.564935351322356e-12
1.04,8.325604069426895e-12
1.06,8.097680919232463e-12
1.08,7.88042401495068e-12
1.1,7.673152195205881e-12
1.12,7.475239055100728e-12
1.1400000000000001,7.286107663911049e-12
1.1600000000000001,7.1052258716673326e-12
1.18,6.932102133741934e-12
1.2,6.7662817898373345e-12
1.22,6.607343737999165e-12
1.24,6.454897458394299e-12
1.26,6.308580343727183e-12
1.28,6.168055302082966e-12
1.3,6.033008598819929e-12
1.32,5.903147910991211e-12
1.34,5.778200570633279e-12
1.36,5.657911977398142e-12
1.3800000000000001,5.5420441586088516e-12
1.4000000000000001,5.430374465530191e-12
1.4200000000000002,5.322694385439601e-12
1.44,5.2188084649543176e-12
1.46,5.118533326435312e-12
1.48,5.0216967721444066e-12
1.5,4.928136965384292e-12
1.52,4.837701681654867e-12
1.54,4.750247622978635e-12
1.56,4.6656397896428346e-12
1.58,4.58375090315111e-12
1.6,4.504460875877768e-12
