time,KE
0.02,1.107097962473612e-08
0.04,1.2273738506464082e-09
0.06,4.88899498114944e-10
0.08,3.1568282462106376e-10
0.1,2.23994097903155e-10
0.12000000000000001,1.69043909610552e-10
0.13999999999999999,1.3324259423722646e-10
0.16,1.0844865975570933e-10
0.18,9.046513668716705e-11
0.19999999999999998,7.694200784475515e-11
0.22,6.647494827216909e-11
0.24,5.81797171693795e-11
0.26,5.1475197249827705e-11
0.28,4.5965626708170906e-11
0.30000000000000004,4.137324040917036e-11
0.32,3.749800340286291e-11
0.34,3.4192613989612095e-11
0.36000000000000004,3.134647150954798e-11
0.38,2.8875097082063107e-11
0.4,2.671297567613948e-11
0.42000000000000004,2.4808604391072636e-11
0.44,2.3120998436363042e-11
0.46,2.16171814522874e-11
0.48000000000000004,2.0270353685799802e-11
0.5,1.9058535309181703e-11
0.52,1.7963548209568992e-11
0.54,1.6970242459006856e-11
0.56,1.606590207225045e-11
0.5800000000000001,1.5239783772200597e-11
0.6,1.4482755569933142e-11
0.62,1.3787011046439446e-11
0.64,1.3145841619801177e-11
0.66,1.2553453630928603e-11
0.68,1.2004820377719794e-11
0.7000000000000001,1.1495561611273393e-11
0.7200000000000001,1.1021844780047095e-11
0.74,1.0580303615538358e-11
0.76,1.0167970640453866e-11
0.78,9.782220922497348e-12
0.8,9.420724965792338e-12
0.8200000000000001,9.081409071838326e-12
0.8400000000000001,8.762421832976188e-12
0.86,8.462105690800753e-12
0.88,8.178972698278638e-12
0.9,7.911683780530853e-12
0.92,7.659030929416464e-12
0.9400000000000001,7.419921858456142e-12
0.9600000000000001,7.193366738452377e-12
0.98,6.978466691792548e-12
1.0,6.774403783184318e-12
1.02,6.580432287098092e-12
1.04,6.395871046852473e-12
1.06,6.220096771332675e-12
1.08,6.052538138479596e-12
1.1,5.892670597104904e-12
1.12,5.740011770933501e-12
1.1400000000000001,5.5941173885705536e-12
1.1600000000000001,5.454577668509562e-12
1.18,5.321014103569497e-12
1.2,5.193076593427876e-12
1.22,5.0704408832205016e-12
1.24,4.9528062703868614e-12
1.26,4.83989354894326e-12
1.28,4.731443161807419e-12
1.3,4.6272135389085986e-12
1.32,4.526979598256922e-12
1.34,4.4305313930741235e-12
1.36,4.3376728880114845e-12
1.3800000000000001,4.248220850708502e-12
1.4000000000000001,4.162003846590561e-12
1.4200000000000002,4.0788613253436756e-12
1.44,3.998642790186232e-12
1.46,3.921207040680595e-12
1.48,3.846421482828606e-12
1.5,3.774161496558601e-12
1.52,3.704309865042837e-12
1.54,3.6367562379165692e-12
1.56,3.5713966532067914e-12
1.58,3.5081330915140378e-12
1.6,3.4468730678566976e-12
1.62,3.387529256145594e-12
1.6400000000000001,3.330019143514628e-12
1.6600000000000001,3.2742647114841957e-12
1.6800000000000002,3.2201921421064346e-12
1.7,3.1677315460993454e-12
1.72,3.1168167117864454e-12
1.74,3.0673848726125716e-12
1.76,3.019376491987775e-12
1.78,2.9727350634475694e-12
1.8,2.9274069256160696e-12
1.82,2.8833410899687677e-12
1.84,2.8404890811603485e-12
1.86,2.7988047879229632e-12
1.8800000000000001,2.7582443247722364e-12
1.9000000000000001,2.7187659028097994e-12
1.9200000000000002,2.6803297094223053e-12
1.94,2.6428977959046558e-12
1.96,2.60643397257131e-12
1.98,2.57090371071796e-12
2.0,2.5362740509239312e-12
2.02,2.5025135172206673e-12
2.04,2.4695920368053587e-12
2.06,2.437480864671162e-12
2.08,2.406152513016882e-12
2.1,2.3755806849815806e-12
2.12,2.34574021253129e-12
2.14,2.316606997884026e-12
2.16,2.2881579587017363e-12
2.18,2.260370976421936e-12
2.2,2.233224847563471e-12
2.22,2.206699238091305e-12
2.24,2.18077463996287e-12
2.2600000000000002,2.1554323315818365e-12
2.2800000000000002,2.1306543378588426e-12
2.3000000000000003,2.1064233951495266e-12
2.3200000000000003,2.08272291710033e-12
2.34,2.0595369615114955e-12
2.36,2.0368502012461693e-12
2.38,2.0146478945494946e-12
2.4,1.992915858054678e-12
2.42,1.9716404410551634e-12
2.44,1.9508085011373642e-12
2.46,1.9304073811293326e-12
2.48,1.9104248872024277e-12
2.5,1.8908492682464263e-12
2.52,1.871669196167197e-12
2.54,1.8528737473605782e-12
2.56,1.834452385012504e-12
2.58,1.8163949424171327e-12
2.6,1.7986916069943858e-12
2.62,1.781332905323239e-12
2.64,1.7643096887248536e-12
2.66,1.7476131197465627e-12
2.68,1.731234659112266e-12
2.7,1.715166053469978e-12
2.72,1.699399323861164e-12
2.74,1.6839267544887198e-12
2.7600000000000002,1.668740882117339e-12
2.7800000000000002,1.6538344860896258e-12
2.8000000000000003,1.6392005787379955e-12
2.8200000000000003,1.624832396265201e-12
2.84,1.6107233901526872e-12
2.86,1.596867218771848e-12
2.88,1.5832577396502596e-12
2.9,1.5698890018929852e-12
2.92,1.5567552393789967e-12
2.94,1.5438508627136564e-12
2.96,1.5311704545576661e-12
2.98,1.5187087622240868e-12
3.0,1.5064606920309295e-12
3.02,1.4944213036770967e-12
3.04,1.4825858048395842e-12
3.06,1.4709495459610663e-12
3.08,1.4595080154068633e-12
3.1,1.4482568346156278e-12
3.12,1.4371917537035684e-12
3.14,1.4263086470827986e-12
3.16,1.4156035092737518e-12
3.18,1.4050724509796252e-12
3.2,1.3947116952447937e-12
3.22,1.3845175737822076e-12
3.24,1.3744865234005689e-12
3.2600000000000002,1.3646150827856748e-12
3.2800000000000002,1.3548998891096013e-12
