time,KE
0.02,1.2124778349593033e-08
0.04,1.3441991173207934e-09
0.06,5.354325694515174e-10
0.08,3.457287363983328e-10
0.1,2.4531312308278514e-10
0.12000000000000001,1.8513297081398892e-10
0.13999999999999999,1.459243318394284e-10
0.16,1.1877076926663629e-10
0.18,9.907583059714988e-11
0.19999999999999998,8.426581761540166e-11
0.22,7.280273929976543e-11
0.24,6.371819221200667e-11
0.26,5.6375748564067964e-11
0.28,5.034197856132794e-11
0.30000000000000004,4.5312680153355285e-11
0.32,4.106877987311449e-11
0.34,3.7448956638414755e-11
0.36000000000000004,3.433208356974669e-11
0.38,3.1625641784966053e-11
0.4,2.9257881174574803e-11
0.42000000000000004,2.7172397379631707e-11
0.44,2.532430521220904e-11
0.46,2.3677490111232306e-11
0.48000000000000004,2.2202601965751092e-11
0.5,2.0875569310684053e-11
0.52,1.9676484205925977e-11
0.54,1.8588755086847918e-11
0.56,1.7598455962514995e-11
0.5800000000000001,1.6693821285301997e-11
0.6,1.586485013277494e-11
0.62,1.5102993297522378e-11
0.64,1.4400903879077685e-11
0.66,1.375223696422793e-11
0.68,1.3151487577218978e-11
0.7000000000000001,1.2593858708841052e-11
0.7200000000000001,1.2075153161240708e-11
0.74,1.1591684387974337e-11
0.76,1.1140202576620603e-11
0.78,1.0717833051922608e-11
0.8,1.0322024684538242e-11
0.8200000000000001,9.95050647792605e-12
0.8400000000000001,9.60125087560415e-12
0.86,9.2724426119679e-12
0.88,8.962452168548148e-12
0.9,8.669813061958668e-12
0.92,8.393202343285206e-12
0.9400000000000001,8.131423793820528e-12
0.9600000000000001,7.883393397970422e-12
0.98,7.648126744134128e-12
1.0,7.424728062304731e-12
1.02,7.2123806607946145e-12
1.04,7.010338559102566e-12
1.06,6.8179191464056955e-12
1.08,6.634496724403868e-12
1.1,6.459496814902962e-12
1.12,6.2923911265171775e-12
1.1400000000000001,6.132693097465512e-12
1.1600000000000001,5.979953937561483e-12
1.18,5.8337591059872216e-12
1.2,5.693725171373202e-12
1.22,5.559497007127721e-12
1.24,5.430745280308193e-12
1.26,5.307164199800729e-12
1.28,5.188469493970194e-12
1.3,5.074396589638688e-12
1.32,4.964698971667576e-12
1.34,4.859146700939443e-12
1.36,4.757525074250986e-12
1.3800000000000001,4.659633410660052e-12
1.4000000000000001,4.5652839505437775e-12
1.4200000000000002,4.474300855414816e-12
1.44,4.386519297925095e-12
1.46,4.301784633008847e-12
