time,KE
0.02,8.646039620453455e-09
0.04,9.585406388792985e-10
0.06,3.818185500330221e-10
0.08,2.465414626909143e-10
0.1,1.749348259732493e-10
0.12000000000000001,1.320197825136455e-10
0.13999999999999999,1.0405942828852545e-10
0.16,8.46955336687378e-11
0.18,7.065040060627722e-11
0.19999999999999998,6.008873732009272e-11
0.22,5.1913806342308707e-11
0.24,4.5435039361224764e-11
0.26,4.0198598259076315e-11
0.28,3.589540212238677e-11
0.30000000000000004,3.230852214065587e-11
0.32,2.9281734714257496e-11
0.34,2.6699999587318515e-11
0.36000000000000004,2.4476939149007168e-11
0.38,2.254657632144218e-11
0.4,2.085774440555733e-11
0.42000000000000004,1.9370219914031475e-11
0.44,1.8051993825169806e-11
0.46,1.6877311581798947e-11
0.48000000000000004,1.5825242475671282e-11
0.5,1.4878620107994467e-11
0.52,1.4023247186242377e-11
0.54,1.3247291411582039e-11
0.56,1.2540821385433582e-11
0.5800000000000001,1.189544639183252e-11
0.6,1.1304034133641957e-11
0.62,1.0760487590228778e-11
0.64,1.0259567159737435e-11
0.66,9.796747806011392e-12
0.68,9.368103496730266e-12
0.7000000000000001,8.970213091469297e-12
0.7200000000000001,8.600083213240464e-12
0.74,8.25508466397199e-12
0.76,7.93289971330681e-12
0.78,7.631478169814618e-12
0.8,7.349000589715572e-12
0.8200000000000001,7.08384731687755e-12
0.8400000000000001,6.834572314723059e-12
0.86,6.599880952931655e-12
0.88,6.378611076158225e-12
0.9,6.169716807620406e-12
0.92,5.972254640932731e-12
0.9400000000000001,5.785371456447348e-12
0.9600000000000001,5.608294160157032e-12
0.98,5.440320697833101e-12
1.0,5.2808122371511076e-12
1.02,5.129186347085679e-12
1.04,4.984911029604873e-12
1.06,4.847499484022585e-12
1.08,4.716505501712757e-12
1.1,4.591519405344198e-12
1.12,4.4721644594318065e-12
1.1400000000000001,4.358093690873224e-12
1.1600000000000001,4.248987065676787e-12
1.18,4.1445489767557276e-12
1.2,4.0445060044828195e-12
1.22,3.948604915597824e-12
1.24,3.856610872313997e-12
1.26,3.768305825996148e-12
1.28,3.683487074842524e-12
1.3,3.601965963416308e-12
1.32,3.523566714848864e-12
1.34,3.4481253721029222e-12
1.36,3.3754888423356978e-12
1.3800000000000001,3.305514031277118e-12
1.4000000000000001,3.2380670577939297e-12
1.4200000000000002,3.173022540449503e-12
1.44,3.1102629484830503e-12
1.46,3.0496780106088394e-12
1.48,2.9911641757078052e-12
1.5,2.934624120275097e-12
1.52,2.879966298027853e-12
1.54,2.8271045274754936e-12
1.56,2.7759576139371375e-12
1.58,2.726449002491536e-12
1.6,2.6785064592337154e-12
1.62,2.632061778123042e-12
1.6400000000000001,2.5870505108752184e-12
1.6600000000000001,2.5434117181957494e-12
1.6800000000000002,2.501087740066708e-12
1.7,2.460023983713155e-12
1.72,2.4201687274828814e-12
1.74,2.3814729393759806e-12
1.76,2.343890109004786e-12
1.78,2.3073760917230014e-12
1.8,2.2718889640630027e-12
1.82,2.2373888894016533e-12
1.84,2.2038379931981803e-12
1.86,2.1712002468241568e-12
1.8800000000000001,2.1394413594611198e-12
1.9000000000000001,2.10852867738075e-12
1.9200000000000002,2.0784310900181558e-12
1.94,2.0491189422885117e-12
1.96,2.020563952766925e-12
1.98,1.992739137166157e-12
2.0,1.965618736840915e-12
2.02,1.9391781517720095e-12
2.04,1.9133938779358445e-12
2.06,1.888243448514064e-12
2.08,1.863705378837374e-12
2.1,1.839759114703925e-12
2.12,1.816384983837959e-12
2.14,1.793564150331105e-12
2.16,1.771278571767957e-12
2.18,1.7495109589780471e-12
2.2,1.728244738077356e-12
2.22,1.707464014803035e-12
2.24,1.6871535408565622e-12
2.2600000000000002,1.6672986822350584e-12
2.2800000000000002,1.6478853893260708e-12
2.3000000000000003,1.628900168734659e-12
2.3200000000000003,1.61033005661588e-12
2.34,1.5921625935813432e-12
2.36,1.574385800921281e-12
2.38,1.5569881581855735e-12
2.4,1.5399585819213843e-12
2.42,1.5232864056050073e-12
2.44,1.5069613606226668e-12
2.46,1.4909735582780248e-12
2.48,1.4753134727244412e-12
2.5,1.4599719248296293e-12
2.52,1.4449400668335135e-12
2.54,1.430209367844845e-12
2.56,1.4157716000287276e-12
2.58,1.4016188255631682e-12
2.6,1.3877433841865308e-12
2.62,1.3741378814143295e-12
2.64,1.3607951773582358e-12
2.66,1.3477083760617647e-12
2.68,1.3348708153632512e-12
2.7,1.3222760572941362e-12
2.72,1.3099178789208629e-12
2.74,1.2977902636317493e-12
2.7600000000000002,1.285887392832651e-12
2.7800000000000002,1.2742036380608374e-12
2.8000000000000003,1.2627335534950528e-12
2.8200000000000003,1.2514718686987855e-12
2.84,1.2404134819202582e-12
2.86,1.229553453502216e-12
2.88,1.218886999696133e-12
2.9,1.2084094867419267e-12
2.92,1.1981164252353473e-12
2.94,1.1880034646977682e-12
