time,KE
0.02,7.334772390640669e-09
0.04,8.131701233866156e-10
0.06,3.239142871172629e-10
0.08,2.0915292238160694e-10
0.1,1.4840570132980953e-10
0.12000000000000001,1.1199873147375427e-10
0.13999999999999999,8.827845993227886e-11
0.16,7.185094505604505e-11
0.18,5.993558038224034e-11
0.19999999999999998,5.097541015829902e-11
0.22,4.404002427913761e-11
0.24,3.854358277638704e-11
0.26,3.410107391674667e-11
0.28,3.04502897474164e-11
0.30000000000000004,2.7407198999756344e-11
0.32,2.483926936114276e-11
0.34,2.2648906236996615e-11
0.36000000000000004,2.076283089581981e-11
0.38,1.912507135346821e-11
0.4,1.769221999385798e-11
0.42000000000000004,1.643015287393446e-11
0.44,1.5311714802021084e-11
0.46,1.4315056576320729e-11
0.48000000000000004,1.3422421324466234e-11
0.5,1.2619245645107336e-11
0.52,1.1893484997055275e-11
0.54,1.123510120052263e-11
0.56,1.0635668722150597e-11
0.5800000000000001,1.0088069084375803e-11
0.6,9.586251405296215e-12
0.62,9.125043095439779e-12
0.64,8.69999897053713e-12
0.66,8.307280061715185e-12
0.68,7.94355557762203e-12
0.7000000000000001,7.60592306349865e-12
0.7200000000000001,7.29184296840406e-12
0.74,6.999084702918923e-12
0.76,6.725681920502132e-12
0.78,6.4698952500517745e-12
0.8,6.230181083168983e-12
0.8200000000000001,6.005165309004113e-12
0.8400000000000001,5.793621113772567e-12
0.86,5.5944501356334225e-12
0.88,5.406666404009161e-12
0.9,5.2293825985546044e-12
0.92,5.061798250151178e-12
0.9400000000000001,4.903189573919331e-12
0.9600000000000001,4.752900679165545e-12
0.98,4.610335945644813e-12
1.0,4.4749533913127e-12
1.02,4.3462588852630474e-12
1.04,4.223801084683241e-12
1.06,4.1071669926987825e-12
1.08,3.9959780511187406e-12
1.1,3.889886695383113e-12
1.12,3.788573309273012e-12
1.1400000000000001,3.6917435272403135e-12
1.1600000000000001,3.5991258390519502e-12
1.18,3.51046945862935e-12
1.2,3.4255424237641834e-12
1.22,3.3441298984352705e-12
1.24,3.266032653290442e-12
1.26,3.1910657028635773e-12
1.28,3.1190570813738105e-12
1.3,3.049846741001417e-12
1.32,2.9832855586264083e-12
1.34,2.919234439012217e-12
1.36,2.8575635039531484e-12
1.3800000000000001,2.798151357549595e-12
1.4000000000000001,2.7408844198934704e-12
1.4200000000000002,2.685656321727916e-12
1.44,2.6323673538177157e-12
1.46,2.580923965311039e-12
1.48,2.531238306241583e-12
1.5,2.4832278095785157e-12
1.52,2.4368148091501632e-12
1.54,2.3919261896789077e-12
1.56,2.3484930661679753e-12
1.58,2.3064504894092597e-12
1.6,2.2657371756279327e-12
1.62,2.2262952577237097e-12
1.6400000000000001,2.1880700562036474e-12
1.6600000000000001,2.1510098680757103e-12
1.6800000000000002,2.115065772033458e-12
1.7,2.0801914485732628e-12
1.72,2.046343013617083e-12
1.74,2.0134788646175914e-12
1.76,1.9815595379876985e-12
1.78,1.9505475769136567e-12
1.8,1.9204074087170947e-12
1.82,1.891105230963132e-12
1.84,1.8626089055816185e-12
1.86,1.8348878603858556e-12
1.8800000000000001,1.8079129973835823e-12
1.9000000000000001,1.78165660737183e-12
1.9200000000000002,1.7560922902196866e-12
1.94,1.7311948805904818e-12
1.96,1.7069403785057613e-12
1.98,1.6833058844649654e-12
2.0,1.6602695387848333e-12
2.02,1.6378104648564053e-12
2.04,1.6159087159399255e-12
2.06,1.594545225365486e-12
2.08,1.573701759831365e-12
2.1,1.553360875570604e-12
2.12,1.533505877202375e-12
2.14,1.5141207790875965e-12
2.16,1.4951902689905031e-12
2.18,1.476699673913957e-12
2.2,1.4586349279489837e-12
2.22,1.4409825419995829e-12
