time,KE
0.02,1.1591891666949683e-08
0.04,1.2851227786320569e-09
0.06,5.1190170535425e-10
0.08,3.305351170837958e-10
0.1,2.3453252118171175e-10
0.12000000000000001,1.7699705769272205e-10
0.13999999999999999,1.3951143264670378e-10
0.16,1.1355108440766931e-10
0.18,9.472157157028479e-11
0.19999999999999998,8.056230719472581e-11
0.22,6.960289264314274e-11
0.24,6.091748390541271e-11
0.26,5.38976226401283e-11
0.28,4.8128927015844516e-11
0.30000000000000004,4.332056360605526e-11
0.32,3.926308634005963e-11
0.34,3.5802263452999694e-11
0.36000000000000004,3.2822290958782204e-11
0.38,3.023471563680218e-11
0.4,2.797094032538625e-11
0.42000000000000004,2.59770392285709e-11
0.44,2.4210099505636757e-11
0.46,2.2635593514493298e-11
0.48000000000000004,2.1225460804019352e-11
0.5,1.995668760298173e-11
0.52,1.8810240705371754e-11
0.54,1.777025754882154e-11
0.56,1.6823424013972104e-11
0.5800000000000001,1.5958491492017772e-11
0.6,1.5165898458598688e-11
0.62,1.4437471317427678e-11
0.64,1.3766185949328497e-11
0.66,1.3145976197480392e-11
0.68,1.2571578937689008e-11
0.7000000000000001,1.2038407905805733e-11
0.7200000000000001,1.15424502970104e-11
0.74,1.10801815212393e-11
0.76,1.0648494536207358e-11
0.78,1.024464095574984e-11
0.8,9.866181725764216e-12
0.8200000000000001,9.510945618615336e-12
0.8400000000000001,9.176994151846703e-12
0.86,8.862591809715243e-12
0.88,8.566180663007912e-12
0.9,8.286358656408148e-12
0.92,8.021860964135728e-12
0.9400000000000001,7.771543924483351e-12
0.9600000000000001,7.534371150410482e-12
0.98,7.30940148317529e-12
1.0,7.095778512809436e-12
1.02,6.8927214345971495e-12
1.04,6.699517048787941e-12
1.06,6.515512741716393e-12
1.08,6.340110312991472e-12
1.1,6.172760532032575e-12
1.12,6.012958326887989e-12
1.1400000000000001,5.8602385217980695e-12
1.1600000000000001,5.714172053221213e-12
1.18,5.574362602476793e-12
1.2,5.440443594054078e-12
1.22,5.312075513291709e-12
1.24,5.188943505840971e-12
1.26,5.070755224939591e-12
1.28,4.957238897307636e-12
1.3,4.8481415825619e-12
1.32,4.743227604600318e-12
1.34,4.642277134681457e-12
1.36,4.545084910020278e-12
1.3800000000000001,4.4514590737604185e-12
1.4000000000000001,4.361220121983536e-12
1.4200000000000002,4.274199947563586e-12
1.44,4.190240970258814e-12
1.46,4.109195344087669e-12
1.48,4.030924234585879e-12
1.5,3.955297158557518e-12
1.52,3.882191380279515e-12
1.54,3.811491358643745e-12
1.56,3.743088240331126e-12
1.58,3.676879394626186e-12
1.6,3.612767986172742e-12
1.62,3.5506625816813236e-12
1.6400000000000001,3.4904767879572956e-12
1.6600000000000001,3.4321289181643814e-12
