time,KE
0.02,6.921632875690066e-09
0.04,7.673682306294311e-10
0.06,3.0567028863308273e-10
0.08,1.9737282007462163e-10
0.1,1.4004709222579696e-10
0.12000000000000001,1.0569063992636943e-10
0.13999999999999999,8.330630954100878e-11
0.16,6.7803977015214e-11
0.18,5.6559654418018544e-11
0.19999999999999998,4.810408138348995e-11
0.22,4.155925267397289e-11
0.24,3.6372325194373244e-11
0.26,3.2179972448204515e-11
0.28,2.8734754843549055e-11
0.30000000000000004,2.5863006225741284e-11
0.32,2.343965877074545e-11
0.34,2.13726145537589e-11
0.36000000000000004,1.9592721964207282e-11
0.38,1.8047161372860538e-11
0.4,1.669496986189477e-11
0.42000000000000004,1.550394531059244e-11
0.44,1.4448461858015937e-11
0.46,1.3507900793170027e-11
0.48000000000000004,1.2665505251552503e-11
0.5,1.1907531982566224e-11
0.52,1.122261473436855e-11
0.54,1.0601280619842645e-11
0.56,1.0035578576358408e-11
0.5800000000000001,9.518790986389577e-12
0.6,9.045207704008293e-12
0.62,8.609947412912256e-12
0.64,8.208815237934205e-12
0.66,7.838188379706035e-12
0.68,7.494923598961704e-12
0.7000000000000001,7.176281871675282e-12
0.7200000000000001,6.87986664162398e-12
0.74,6.603572915650259e-12
0.76,6.3455450638681e-12
0.78,6.10414165076568e-12
0.8,5.877905980178644e-12
0.8200000000000001,5.6655413094271234e-12
0.8400000000000001,5.465889898841415e-12
0.86,5.277915228223726e-12
0.88,5.100686840178701e-12
0.9,4.93336737321532e-12
0.92,4.775201426934364e-12
0.9400000000000001,4.62550596759756e-12
0.9600000000000001,4.483662033132436e-12
0.98,4.349107538583528e-12
1.0,4.221331017202851e-12
1.02,4.099866159508806e-12
1.04,3.9842870350848916e-12
1.06,3.874203900560357e-12
1.08,3.769259512498648e-12
1.1,3.6691258760523456e-12
1.12,3.5735013713505054e-12
1.1400000000000001,3.4821082075637627e-12
1.1600000000000001,3.3946901624577076e-12
1.18,3.3110105711765143e-12
1.2,3.230850532925444e-12
1.22,3.154007308943141e-12
1.24,3.080292888356795e-12
1.26,3.0095327022794916e-12
1.28,2.941564468412146e-12
1.3,2.8762371513191053e-12
1.32,2.813410025161343e-12
1.34,2.7529518273707163e-12
1.36,2.6947399932994124e-12
1.3800000000000001,2.6386599629479974e-12
1.4000000000000001,2.5846045521400414e-12
1.4200000000000002,2.5324733812944054e-12
1.44,2.4821723557139693e-12
1.46,2.4336131922272354e-12
1.48,2.386712987483584e-12
1.5,2.3413938234534786e-12
1.52,2.2975824068731642e-12
1.54,2.2552097390575874e-12
1.56,2.2142108132159238e-12
1.58,2.1745243366709877e-12
1.6,2.1360924756609753e-12
1.62,2.09886062059046e-12
1.6400000000000001,2.0627771698620345e-12
1.6600000000000001,2.027793330673943e-12
1.6800000000000002,1.993862935195491e-12
1.7,1.960942270773095e-12
1.72,1.9289899229662628e-12
1.74,1.8979666303104332e-12
1.76,1.867835149781969e-12
1.78,1.838560132057233e-12
1.8,1.8101080058134774e-12
1.82,1.7824468702189602e-12
1.84,1.7555463950429837e-12
1.86,1.7293777277414009e-12
1.8800000000000001,1.7039134069206176e-12
1.9000000000000001,1.679127281737743e-12
1.9200000000000002,1.6549944367293622e-12
1.94,1.6314911216684705e-12
1.96,1.6085946860703268e-12
1.98,1.5862835179821472e-12
2.0,1.5645369867343056e-12
2.02,1.5433353893817647e-12
2.04,1.5226599005338393e-12
2.06,1.502492525358379e-12
2.08,1.4828160554846165e-12
2.1,1.4636140276820836e-12
2.12,1.4448706850150397e-12
2.14,1.4265709403767284e-12
2.16,1.4087003422146434e-12
2.18,1.3912450422824305e-12
2.2,1.3741917652959796e-12
2.22,1.3575277803870914e-12
2.24,1.3412408741760176e-12
2.2600000000000002,1.3253193254155672e-12
2.2800000000000002,1.3097518810677826e-12
2.3000000000000003,1.2945277337420535e-12
2.3200000000000003,1.2796365003929294e-12
2.34,1.2650682021842354e-12
2.36,1.2508132455079489e-12
2.38,1.2368624039748803e-12
2.4,1.223206801444852e-12
2.42,1.2098378959549554e-12
2.44,1.1967474644730389e-12
2.46,1.1839275884981996e-12
2.48,1.1713706403992972e-12
2.5,1.1590692704695314e-12
2.52,1.147016394665621e-12
2.54,1.135205182954096e-12
2.56,1.1236290482842115e-12
2.58,1.112281636106326e-12
2.6,1.101156814388244e-12
2.62,1.0902486641952386e-12
2.64,1.0795514706812888e-12
2.66,1.0690597145664364e-12
2.68,1.0587680639969788e-12
2.7,1.0486713668398303e-12
2.72,1.0387646433213399e-12
2.74,1.0290430790278324e-12
2.7600000000000002,1.0195020182506814e-12
2.7800000000000002,1.010136957639122e-12
2.8000000000000003,1.0009435401566903e-12
2.8200000000000003,9.919175493139248e-13
2.84,9.83054903687337e-13
2.86,9.743516516670227e-13
2.88,9.658039664668943e-13
2.9,9.574081413580287e-13
2.92,9.49160585108881e-13
2.94,9.410578176448116e-13
2.96,9.330964658935587e-13
2.98,9.252732598120348e-13
3.0,9.175850286024175e-13
3.02,9.100286970774903e-13
3.04,9.026012821953641e-13
3.06,8.952998897364142e-13
3.08,8.881217111287385e-13
3.1,8.810640204014893e-13
3.12,8.741241712725737e-13
3.14,8.672995943511812e-13
3.16,8.605877944618527e-13
3.18,8.539863480732334e-13
3.2,8.474929008336272e-13
3.22,8.411051652050874e-13
3.24,8.34820918189885e-13
3.2600000000000002,8.286379991480125e-13
3.2800000000000002,8.225543076990489e-13
3.3000000000000003,8.165678017028308e-13
3.3200000000000003,8.106764953215082e-13
3.3400000000000003,8.04878457148496e-13
3.36,7.99171808413943e-13
3.38,7.935547212511824e-13
3.4,7.880254170266695e-13
3.42,7.825821647307458e-13
3.44,7.772232794291394e-13
3.46,7.719471207636584e-13
3.48,7.667520915121776e-13
3.5,7.616366361860727e-13
3.52,7.565992396927788e-13
3.54,7.516384260246111e-13
3.56,7.467527570087664e-13
3.58,7.419408310926587e-13
3.6,7.372012821535995e-13
3.62,7.325327783852147e-13
3.64,7.279340211772596e-13
3.66,7.234037440535981e-13
3.68,7.189407116525997e-13
3.7,7.145437187145506e-13
3.72,7.102115891269122e-13
3.74,7.059431749831835e-13
3.7600000000000002,7.017373556786998e-13
3.7800000000000002,6.975930370305717e-13
3.8000000000000003,6.935091504284431e-13
3.8200000000000003,6.894846520394975e-13
3.8400000000000003,6.85518522030257e-13
3.86,6.816097634413873e-13
3.88,6.777574021051406e-13
3.9,6.739604854369188e-13
3.92,6.702180818542685e-13
3.94,6.665292801021852e-13
3.96,6.628931886043288e-13
3.98,6.593089348091145e-13
4.0,6.557756645975728e-13
4.02,6.522925416725341e-13
4.04,6.488587469935456e-13
4.06,6.454734782138867e-13
4.08,6.421359491492269e-13
4.1,6.388453892652745e-13
4.119999999999999,6.356010431681391e-13
4.14,6.324021701353412e-13
